2026-04-14 12:23:35.059 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0555 | Threshold: 0.0297
2026-04-14 12:23:35.149 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0504 | Threshold: 0.0297
2026-04-14 12:23:35.240 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0504 | Threshold: 0.0297
2026-04-14 12:23:35.330 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0504 | Threshold: 0.0297
2026-04-14 12:23:35.421 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0543 | Threshold: 0.0297
2026-04-14 12:23:35.512 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0505 | Threshold: 0.0298
2026-04-14 12:23:35.602 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0505 | Threshold: 0.0298
2026-04-14 12:23:35.693 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0506 | Threshold: 0.0298
2026-04-14 12:23:35.783 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0509 | Threshold: 0.0298
2026-04-14 12:23:35.873 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0510 | Threshold: 0.0298
2026-04-14 12:23:35.963 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0509 | Threshold: 0.0299
2026-04-14 12:23:36.054 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0513 | Threshold: 0.0299
2026-04-14 12:23:36.146 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0550 | Threshold: 0.0299
2026-04-14 12:23:36.235 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0572 | Threshold: 0.0299
2026-04-14 12:23:36.326 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0509 | Threshold: 0.0301
2026-04-14 12:23:36.417 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0500 | Threshold: 0.0300
2026-04-14 12:23:36.507 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0487 | Threshold: 0.0299
2026-04-14 12:23:36.598 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0475 | Threshold: 0.0299
2026-04-14 12:23:36.688 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0452 | Threshold: 0.0299
2026-04-14 12:23:36.778 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0438 | Threshold: 0.0299
2026-04-14 12:23:36.869 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0418 | Threshold: 0.0299
2026-04-14 12:23:36.960 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0415 | Threshold: 0.0298
2026-04-14 12:23:37.051 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0417 | Threshold: 0.0298
2026-04-14 12:23:37.141 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0403 | Threshold: 0.0298
2026-04-14 12:23:37.232 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0410 | Threshold: 0.0297
2026-04-14 12:23:37.323 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0417 | Threshold: 0.0298
2026-04-14 12:23:37.414 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0436 | Threshold: 0.0299
2026-04-14 12:23:37.505 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0436 | Threshold: 0.0299
2026-04-14 12:23:37.595 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0431 | Threshold: 0.0299
2026-04-14 12:23:37.686 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0421 | Threshold: 0.0300
2026-04-14 12:23:37.776 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0424 | Threshold: 0.0304
2026-04-14 12:23:37.867 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0438 | Threshold: 0.0308
2026-04-14 12:23:37.958 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0468 | Threshold: 0.0313
2026-04-14 12:23:38.041 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0496 | Threshold: 0.0319
2026-04-14 12:23:38.124 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0511 | Threshold: 0.0323
2026-04-14 12:23:38.209 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0536 | Threshold: 0.0329
2026-04-14 12:23:38.290 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0563 | Threshold: 0.0335
2026-04-14 12:23:38.373 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0581 | Threshold: 0.0339
2026-04-14 12:23:38.457 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0590 | Threshold: 0.0339
2026-04-14 12:23:38.547 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0638 | Threshold: 0.0340
2026-04-14 12:23:38.639 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0651 | Threshold: 0.0341
2026-04-14 12:23:38.729 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0650 | Threshold: 0.0342
2026-04-14 12:23:38.820 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0667 | Threshold: 0.0344
2026-04-14 12:23:38.821 | INFO     | models.squat:update:69 - DONE: Rep #2 | Angle: 97 | Fault: True
2026-04-14 12:23:38.821 | WARNING  | models.squat:update:73 - Повтор 1: Техника нарушена! Колени нестабильны.
2026-04-14 12:23:44.578 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0140 | Threshold: 0.0345
2026-04-14 12:23:44.668 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0178 | Threshold: 0.0344
2026-04-14 12:23:44.758 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0212 | Threshold: 0.0344
2026-04-14 12:23:44.849 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0234 | Threshold: 0.0341
2026-04-14 12:23:44.939 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0270 | Threshold: 0.0340
2026-04-14 12:23:45.029 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0303 | Threshold: 0.0337
2026-04-14 12:23:45.119 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0325 | Threshold: 0.0336
2026-04-14 12:23:45.211 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0341 | Threshold: 0.0336
